Asset_Type,Asset_Type_Description
Aids to Navigation,Aids to Navigation
Amenities,Amenities
Asset Complex,Asset Complex
Beach Structure,Beach Structure
Buildings and Compounds,Buildings and Compounds
Channel,Channel
Channel Crossings,Channel Crossings
Defence,Defence
Information Deliverables,Information Deliverables
Instruments,Instruments
Land,Land
MEICA,MEICA
Public Safety,Public Safety
Structure,Structure
