Cornwall,Cornwall
Dorset,Dorset
East Devon,East Devon
Isles of Scilly ,Isles of Scilly 
North Devon,North Devon
North Somerset,North Somerset
Plymouth,Plymouth
Sedgemoor,Sedgemoor
Somerset and West Taunton,Somerset and West Taunton
South Hams,South Hams
Teignbridge,Teignbridge
Torbay,Torbay
Torridge,Torridge
Wessex,Wessex
